"batchId ,",1.0,",overall_accuracy, ",78.5,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",2.0,",overall_accuracy, ",78.75,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",3.0,",overall_accuracy, ",79.33333333333333,",step_accuracy, ",80.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",4.0,",overall_accuracy, ",77.125,",step_accuracy, ",70.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",5.0,",overall_accuracy, ",77.5,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",6.0,",overall_accuracy, ",76.58333333333334,",step_accuracy, ",72.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",7.0,",overall_accuracy, ",75.92857142857142,",step_accuracy, ",72.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",8.0,",overall_accuracy, ",76.25,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",9.0,",overall_accuracy, ",77.0,",step_accuracy, ",83.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",10.0,",overall_accuracy, ",76.8,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",11.0,",overall_accuracy, ",76.72727272727272,",step_accuracy, ",76.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",12.0,",overall_accuracy, ",76.33333333333333,",step_accuracy, ",72.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",13.0,",overall_accuracy, ",76.34615384615384,",step_accuracy, ",76.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",14.0,",overall_accuracy, ",75.85714285714286,",step_accuracy, ",69.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",15.0,",overall_accuracy, ",75.93333333333334,",step_accuracy, ",77.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",16.0,",overall_accuracy, ",75.625,",step_accuracy, ",71.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",17.0,",overall_accuracy, ",75.79411764705883,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",18.0,",overall_accuracy, ",75.44444444444444,",step_accuracy, ",69.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",19.0,",overall_accuracy, ",75.47368421052632,",step_accuracy, ",76.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",20.0,",overall_accuracy, ",75.425,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",21.0,",overall_accuracy, ",75.61904761904762,",step_accuracy, ",79.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",22.0,",overall_accuracy, ",75.31818181818181,",step_accuracy, ",69.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",23.0,",overall_accuracy, ",75.5,",step_accuracy, ",79.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",24.0,",overall_accuracy, ",75.5,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",25.0,",overall_accuracy, ",75.52,",step_accuracy, ",76.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",26.0,",overall_accuracy, ",75.63461538461539,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",27.0,",overall_accuracy, ",75.75925925925927,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",28.0,",overall_accuracy, ",75.60714285714286,",step_accuracy, ",71.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",29.0,",overall_accuracy, ",75.6896551724138,",step_accuracy, ",78.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",30.0,",overall_accuracy, ",75.56666666666668,",step_accuracy, ",72.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",31.0,",overall_accuracy, ",75.51612903225806,",step_accuracy, ",74.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",32.0,",overall_accuracy, ",75.40625,",step_accuracy, ",72.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",33.0,",overall_accuracy, ",75.40909090909092,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",34.0,",overall_accuracy, ",75.41176470588236,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",35.0,",overall_accuracy, ",75.4,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",36.0,",overall_accuracy, ",75.375,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",37.0,",overall_accuracy, ",75.37837837837837,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",38.0,",overall_accuracy, ",75.35526315789474,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",39.0,",overall_accuracy, ",75.25641025641025,",step_accuracy, ",71.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",40.0,",overall_accuracy, ",75.375,",step_accuracy, ",80.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",41.0,",overall_accuracy, ",75.45121951219512,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",42.0,",overall_accuracy, ",75.46428571428572,",step_accuracy, ",76.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",43.0,",overall_accuracy, ",75.46511627906976,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",44.0,",overall_accuracy, ",75.4659090909091,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",45.0,",overall_accuracy, ",75.6111111111111,",step_accuracy, ",82.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",46.0,",overall_accuracy, ",75.57608695652173,",step_accuracy, ",74.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",47.0,",overall_accuracy, ",75.70212765957447,",step_accuracy, ",81.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",48.0,",overall_accuracy, ",75.64583333333333,",step_accuracy, ",73.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",49.0,",overall_accuracy, ",75.73469387755102,",step_accuracy, ",80.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",50.0,",overall_accuracy, ",75.77000000000001,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",51.0,",overall_accuracy, ",75.92156862745098,",step_accuracy, ",83.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",52.0,",overall_accuracy, ",75.79807692307692,",step_accuracy, ",69.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",53.0,",overall_accuracy, ",75.66037735849058,",step_accuracy, ",68.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",54.0,",overall_accuracy, ",75.63888888888889,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",55.0,",overall_accuracy, ",75.69090909090909,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",56.0,",overall_accuracy, ",75.75,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",57.0,",overall_accuracy, ",75.79824561403508,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",58.0,",overall_accuracy, ",75.8103448275862,",step_accuracy, ",76.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",59.0,",overall_accuracy, ",75.78813559322035,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",60.0,",overall_accuracy, ",75.81666666666666,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",61.0,",overall_accuracy, ",75.85245901639345,",step_accuracy, ",78.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",62.0,",overall_accuracy, ",75.76612903225806,",step_accuracy, ",70.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",63.0,",overall_accuracy, ",75.74603174603175,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",64.0,",overall_accuracy, ",75.7890625,",step_accuracy, ",78.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",65.0,",overall_accuracy, ",75.90769230769232,",step_accuracy, ",83.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",66.0,",overall_accuracy, ",76.02272727272728,",step_accuracy, ",83.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",67.0,",overall_accuracy, ",76.08955223880596,",step_accuracy, ",80.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",68.0,",overall_accuracy, ",76.11029411764706,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",69.0,",overall_accuracy, ",76.06521739130436,",step_accuracy, ",73.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",70.0,",overall_accuracy, ",76.05714285714285,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",71.0,",overall_accuracy, ",76.05633802816901,",step_accuracy, ",76.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",72.0,",overall_accuracy, ",76.02083333333334,",step_accuracy, ",73.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",73.0,",overall_accuracy, ",75.88356164383562,",step_accuracy, ",66.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",74.0,",overall_accuracy, ",75.9054054054054,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",75.0,",overall_accuracy, ",75.94666666666666,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",76.0,",overall_accuracy, ",75.92763157894737,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",77.0,",overall_accuracy, ",75.91558441558442,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",78.0,",overall_accuracy, ",75.97435897435898,",step_accuracy, ",80.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",79.0,",overall_accuracy, ",75.95569620253164,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",80.0,",overall_accuracy, ",75.83125,",step_accuracy, ",66.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",81.0,",overall_accuracy, ",75.82098765432099,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",82.0,",overall_accuracy, ",75.84146341463415,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",83.0,",overall_accuracy, ",75.8855421686747,",step_accuracy, ",79.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",84.0,",overall_accuracy, ",75.8452380952381,",step_accuracy, ",72.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
